Method,Model Name,Accuracy (%),Accuracy OffByOne (%),Macro-F1(%),Latency(ms),Size (MB)
HAWQ,Flan-T5-Small,46.6,88.6,45.6,916.02,113.23
HAWQ,Flan-T5-Base,50.7,88.4,46.31,1366.16,320.26
HAWQ,Flan-T5-Large,56.7,93.7,55.54,3036.72,944.38
